Name,Domain,Credit card

Richard Davis,,adobe.com,3538869367244319

Ashley Green,photobucket.com,56022243331850679, First
Jerry Hicks,topsy.com,3547389441277408
Evelyn Ward,tripod.com,67716328055003494
Katherine Cruz,indiegogo.com,374283328285945
Terry Wallace,cbslocal.com,67592715792133775


Margaret King,networksolutions.com,374283727530933
Joan Hansen,hud.gov,6767316050686104
Brandon Johnson,oaic.gov.au,3589056470877270

Samuel Berry,sogou.com,5602219915679135
Martin Ross,mtv.com,,,58933721397124950
Jack Fuller,nature.com,6376832871988092, Second

Barbara Garcia,fotki.com,30473582228410
Frances Vasquez,elegantthemes.com,67628371239607001
Anne Bradley,,,discovery.com,5002353791174402

Janet Robinson,blogspot.com,5602234387194612

Shirley Hayes,stumbleupon.com,3561506384619731
Steven Ferguson,wisc.edu,,,4405484631538245
Michelle Cook,histats.com,"",633495083211950916
Melissa Mccoy,,oracle.com,3587837113263826
